day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
Saturday,7,2017-01-07,2241,1523,1204,319
Sunday,1,2017-01-08,2679,1892,1519,373
Monday,2,2017-01-09,4182,2841,2191,650
Tuesday,3,2017-01-10,4236,3039,2391,648
Wednesday,4,2017-01-11,4628,3206,2536,670
Thursday,5,2017-01-12,4205,3025,2403,622
Friday,6,2017-01-13,3459,2508,2033,475
Saturday,7,2017-01-14,2448,1744,1390,354
Sunday,1,2017-01-15,2853,2015,1586,429
Monday,2,2017-01-16,4638,3178,2543,635
Tuesday,3,2017-01-17,5325,3669,2942,727
Wednesday,4,2017-01-18,4866,3364,2670,694
Thursday,5,2017-01-19,4715,3375,2689,686
Friday,6,2017-01-20,3753,2713,2136,577
Saturday,7,2017-01-21,2481,1778,1437,341
Sunday,1,2017-01-22,3233,2401,1981,420
Monday,2,2017-01-23,5034,3660,2957,703
Tuesday,3,2017-01-24,4787,3593,2909,684
Wednesday,4,2017-01-25,4901,3602,2923,679
Thursday,5,2017-01-26,4398,3266,2653,613
Friday,6,2017-01-27,3823,2832,2267,565
Saturday,7,2017-01-28,2619,1901,1534,367
Sunday,1,2017-01-29,3518,2612,2205,407
Monday,2,2017-01-30,5178,3826,3127,699
Tuesday,3,2017-01-31,5290,3876,3127,749
Wednesday,4,2017-02-01,5469,4116,3402,714
Thursday,5,2017-02-02,5399,4028,3303,725
Friday,6,2017-02-03,4232,3012,2342,670
Saturday,7,2017-02-04,2828,2084,1697,387
Sunday,1,2017-02-05,3724,2783,2281,502
Monday,2,2017-02-06,5733,4249,3448,801
Tuesday,3,2017-02-07,5814,4284,3521,763
Wednesday,4,2017-02-08,5349,4006,3248,758
Thursday,5,2017-02-09,5025,3681,3010,671
Friday,6,2017-02-10,4044,2922,2335,587
Saturday,7,2017-02-11,2323,1731,1377,354
Sunday,1,2017-02-12,3147,2469,2005,464
Monday,2,2017-02-13,4972,3719,3014,705
Tuesday,3,2017-02-14,4878,3582,2897,685
Wednesday,4,2017-02-15,5288,3786,3039,747
Thursday,5,2017-02-16,4968,3668,2934,734
Friday,6,2017-02-17,3788,2748,2158,590
Saturday,7,2017-02-18,2514,1839,1496,343
Sunday,1,2017-02-19,3463,2602,2083,519
Monday,2,2017-02-20,4931,3700,3009,691
Tuesday,3,2017-02-21,5101,3873,3079,794
Wednesday,4,2017-02-22,5144,3727,2998,729
Thursday,5,2017-02-23,4433,3372,2657,715
Friday,6,2017-02-24,3597,2648,2111,537
Saturday,7,2017-02-25,2621,1826,1482,344
Sunday,1,2017-02-26,3397,2494,2021,473
Monday,2,2017-02-27,5062,3812,3009,803
Tuesday,3,2017-02-28,4926,3678,2933,745
Wednesday,4,2017-03-01,4936,3558,2822,736
Thursday,5,2017-03-02,4688,3441,2747,694
Friday,6,2017-03-03,3827,2699,2140,559
Saturday,7,2017-03-04,2452,1754,1408,346
Sunday,1,2017-03-05,3283,2394,1958,436
Monday,2,2017-03-06,4823,3481,2764,717
Tuesday,3,2017-03-07,4821,3662,2942,720
Wednesday,4,2017-03-08,5059,3613,2923,690
Thursday,5,2017-03-09,4585,3444,2744,700
Friday,6,2017-03-10,3682,2733,2178,555
Saturday,7,2017-03-11,2350,1714,1351,363
Sunday,1,2017-03-12,3056,2189,1755,434
Monday,2,2017-03-13,4746,3367,2721,646
Tuesday,3,2017-03-14,4613,3465,2808,657
Wednesday,4,2017-03-15,4560,3441,2694,747
Thursday,5,2017-03-16,4520,3304,2629,675
Friday,6,2017-03-17,3346,2433,1930,503
Saturday,7,2017-03-18,2253,1649,1325,324
Sunday,1,2017-03-19,2927,2267,1807,460
Monday,2,2017-03-20,4878,3463,2799,664
Tuesday,3,2017-03-21,4852,3481,2802,679
Wednesday,4,2017-03-22,4585,3430,2757,673
Thursday,5,2017-03-23,4477,3260,2600,660
Friday,6,2017-03-24,3654,2566,1993,573
Saturday,7,2017-03-25,2411,1760,1420,340
Sunday,1,2017-03-26,3054,2336,1882,454
Monday,2,2017-03-27,4696,3479,2765,714
Tuesday,3,2017-03-28,5033,3633,2875,758
Wednesday,4,2017-03-29,4948,3530,2809,721
Thursday,5,2017-03-30,4636,3390,2704,686
Friday,6,2017-03-31,3539,2636,2060,576
Saturday,7,2017-04-01,2371,1678,1338,340
Sunday,1,2017-04-02,2816,2159,1715,444
Monday,2,2017-04-03,4493,3356,2672,684
Tuesday,3,2017-04-04,4678,3486,2739,747
Wednesday,4,2017-04-05,4737,3484,2762,722
Thursday,5,2017-04-06,4775,3514,2806,708
Friday,6,2017-04-07,3658,2725,2181,544
Saturday,7,2017-04-08,2260,1664,1324,340
Sunday,1,2017-04-09,3343,2433,1933,500
Monday,2,2017-04-10,4640,3440,2756,684
Tuesday,3,2017-04-11,4694,3532,2867,665
Wednesday,4,2017-04-12,4771,3517,2800,717
Thursday,5,2017-04-13,4173,3017,2395,622
Friday,6,2017-04-14,3046,2238,1752,486
Saturday,7,2017-04-15,2260,1701,1333,368
Sunday,1,2017-04-16,2876,2143,1700,443
Monday,2,2017-04-17,4774,3402,2719,683
Tuesday,3,2017-04-18,5009,3702,2906,796
Wednesday,4,2017-04-19,5369,3852,3133,719
Thursday,5,2017-04-20,5020,3669,2969,700
Friday,6,2017-04-21,3935,2802,2203,599
Saturday,7,2017-04-22,2795,2049,1630,419
Sunday,1,2017-04-23,3795,2827,2305,522
Monday,2,2017-04-24,5489,4083,3252,831
Tuesday,3,2017-04-25,5680,4108,3336,772
Wednesday,4,2017-04-26,5383,3940,3205,735
Thursday,5,2017-04-27,4890,3695,2985,710
Friday,6,2017-04-28,3872,2887,2310,577
Saturday,7,2017-04-29,2790,1987,1602,385
Sunday,1,2017-04-30,3524,2616,2118,498
Monday,2,2017-05-01,4903,3551,2875,676
Tuesday,3,2017-05-02,5160,3802,3079,723
Wednesday,4,2017-05-03,5194,3766,2995,771
Thursday,5,2017-05-04,5142,3755,3013,742
Friday,6,2017-05-05,3836,2925,2323,602
Saturday,7,2017-05-06,2737,1981,1572,409
Sunday,1,2017-05-07,3386,2534,2025,509
Monday,2,2017-05-08,4816,3585,2900,685
Tuesday,3,2017-05-09,4734,3458,2763,695
Wednesday,4,2017-05-10,4761,3475,2754,721
Thursday,5,2017-05-11,4277,3224,2570,654
Friday,6,2017-05-12,3563,2620,2056,564
Saturday,7,2017-05-13,2401,1749,1379,370
Sunday,1,2017-05-14,2877,2126,1674,452
Monday,2,2017-05-15,4448,3191,2494,697
Tuesday,3,2017-05-16,4525,3226,2593,633
Wednesday,4,2017-05-17,4533,3318,2676,642
Thursday,5,2017-05-18,4431,3307,2686,621
Friday,6,2017-05-19,3456,2470,1938,532
Saturday,7,2017-05-20,2162,1651,1332,319
Sunday,1,2017-05-21,2786,1971,1597,374
Monday,2,2017-05-22,4172,3041,2403,638
Tuesday,3,2017-05-23,4255,3077,2457,620
Wednesday,4,2017-05-24,4154,2996,2400,596
Thursday,5,2017-05-25,3803,2839,2263,576
Friday,6,2017-05-26,2950,2183,1720,463
Saturday,7,2017-05-27,1909,1444,1155,289
Sunday,1,2017-05-28,2506,1781,1399,382
Monday,2,2017-05-29,3325,2457,1913,544
Tuesday,3,2017-05-30,4086,2909,2298,611
Wednesday,4,2017-05-31,3716,2667,2069,598
Thursday,5,2017-06-01,3702,2639,2103,536
Friday,6,2017-06-02,2959,2171,1680,491
Saturday,7,2017-06-03,2006,1471,1161,310
Sunday,1,2017-06-04,2479,1795,1419,376
Monday,2,2017-06-05,3501,2610,2072,538
Tuesday,3,2017-06-06,3985,2922,2361,561
Wednesday,4,2017-06-07,3920,2913,2314,599
Thursday,5,2017-06-08,3868,2796,2209,587
Friday,6,2017-06-09,2921,2101,1660,441
Saturday,7,2017-06-10,1655,1244,975,269
Sunday,1,2017-06-11,2229,1622,1299,323
Monday,2,2017-06-12,3660,2598,2020,578
Tuesday,3,2017-06-13,3898,2809,2202,607
Wednesday,4,2017-06-14,3912,2797,2200,597
Thursday,5,2017-06-15,3604,2624,2029,595
Friday,6,2017-06-16,2970,2105,1621,484
Saturday,7,2017-06-17,1546,1187,957,230
Sunday,1,2017-06-18,1944,1465,1146,319
Monday,2,2017-06-19,3608,2493,1959,534
Tuesday,3,2017-06-20,3514,2472,1905,567
Wednesday,4,2017-06-21,3344,2475,1915,560
Thursday,5,2017-06-22,3292,2351,1824,527
Friday,6,2017-06-23,2469,1850,1445,405
Saturday,7,2017-06-24,1296,925,702,223
Sunday,1,2017-06-25,1546,1071,811,260
Monday,2,2017-06-26,2948,1998,1528,470
Tuesday,3,2017-06-27,3077,2190,1690,500
Wednesday,4,2017-06-28,3028,2145,1649,496
Thursday,5,2017-06-29,2738,1976,1474,502
Friday,6,2017-06-30,2147,1478,1087,391
Saturday,7,2017-07-01,1277,903,675,228
Sunday,1,2017-07-02,1606,1142,879,263
Monday,2,2017-07-03,2504,1726,1296,430
Tuesday,3,2017-07-04,2218,1566,1217,349
Wednesday,4,2017-07-05,3024,2149,1681,468
Thursday,5,2017-07-06,2951,2047,1555,492
Friday,6,2017-07-07,2401,1693,1310,383
Saturday,7,2017-07-08,1242,891,700,191
Sunday,1,2017-07-09,1511,1172,938,234
Monday,2,2017-07-10,2934,2062,1619,443
Tuesday,3,2017-07-11,3003,2140,1663,477
Wednesday,4,2017-07-12,3073,2192,1710,482
Thursday,5,2017-07-13,2933,2043,1550,493
Friday,6,2017-07-14,2468,1710,1287,423
Saturday,7,2017-07-15,1355,892,689,203
Sunday,1,2017-07-16,1553,1122,891,231
Monday,2,2017-07-17,2902,1954,1479,475
Tuesday,3,2017-07-18,2899,2109,1591,518
Wednesday,4,2017-07-19,2986,2032,1584,448
Thursday,5,2017-07-20,2964,2031,1571,460
Friday,6,2017-07-21,2433,1609,1214,395
Saturday,7,2017-07-22,1280,923,725,198
Sunday,1,2017-07-23,1603,1170,909,261
Monday,2,2017-07-24,3154,2214,1726,488
Tuesday,3,2017-07-25,3084,2148,1666,482
Wednesday,4,2017-07-26,2983,1925,1490,435
Thursday,5,2017-07-27,2849,1908,1440,468
Friday,6,2017-07-28,2420,1538,1150,388
Saturday,7,2017-07-29,1300,895,712,183
Sunday,1,2017-07-30,1526,1112,863,249
Monday,2,2017-07-31,2872,1978,1481,497
Tuesday,3,2017-08-01,2914,1957,1463,494
Wednesday,4,2017-08-02,2843,1994,1536,458
Thursday,5,2017-08-03,2649,1894,1447,447
Friday,6,2017-08-04,2042,1478,1150,328
Saturday,7,2017-08-05,1225,901,681,220
Sunday,1,2017-08-06,1562,1045,792,253
Monday,2,2017-08-07,2751,1823,1398,425
Tuesday,3,2017-08-08,2634,1868,1415,453
Wednesday,4,2017-08-09,2704,1961,1511,450
Thursday,5,2017-08-10,2670,1864,1463,401
Friday,6,2017-08-11,2073,1498,1121,377
Saturday,7,2017-08-12,1240,888,669,219
Sunday,1,2017-08-13,1530,1076,811,265
Monday,2,2017-08-14,2392,1704,1346,358
Tuesday,3,2017-08-15,2675,1846,1471,375
Wednesday,4,2017-08-16,2755,1911,1436,475
Thursday,5,2017-08-17,2608,1824,1421,403
Friday,6,2017-08-18,2163,1521,1163,358
Saturday,7,2017-08-19,1304,951,743,208
Sunday,1,2017-08-20,1969,1419,1156,263
Monday,2,2017-08-21,2985,2069,1575,494
Tuesday,3,2017-08-22,3087,2259,1772,487
Wednesday,4,2017-08-23,3047,2147,1704,443
Thursday,5,2017-08-24,2961,2026,1600,426
Friday,6,2017-08-25,2293,1589,1257,332
Saturday,7,2017-08-26,1261,934,751,183
Sunday,1,2017-08-27,1676,1211,983,228
Monday,2,2017-08-28,1786,1287,1005,282
Tuesday,3,2017-08-29,3252,2310,1845,465
Wednesday,4,2017-08-30,3082,2179,1741,438
Thursday,5,2017-08-31,2721,1963,1579,384
Friday,6,2017-09-01,2217,1583,1235,348
Saturday,7,2017-09-02,1271,908,730,178
Sunday,1,2017-09-03,1742,1197,958,239
Monday,2,2017-09-04,2293,1704,1380,324
Tuesday,3,2017-09-05,3155,2289,1818,471
Wednesday,4,2017-09-06,3159,2320,1882,438
Thursday,5,2017-09-07,3054,2243,1777,466
Friday,6,2017-09-08,2440,1848,1488,360
Saturday,7,2017-09-09,1532,1108,924,184
Sunday,1,2017-09-10,2247,1657,1366,291
Monday,2,2017-09-11,3570,2496,2033,463
Tuesday,3,2017-09-12,3524,2540,2075,465
Wednesday,4,2017-09-13,3471,2473,2040,433
Thursday,5,2017-09-14,3303,2415,1974,441
Friday,6,2017-09-15,2560,1867,1519,348
Saturday,7,2017-09-16,1470,1090,912,178
Sunday,1,2017-09-17,2234,1715,1446,269
Monday,2,2017-09-18,3504,2596,2123,473
Tuesday,3,2017-09-19,3984,2840,2382,458
Wednesday,4,2017-09-20,3746,2660,2188,472
Thursday,5,2017-09-21,3524,2667,2143,524
Friday,6,2017-09-22,2639,1944,1591,353
Saturday,7,2017-09-23,1523,1178,975,203
Sunday,1,2017-09-24,2425,1809,1521,288
Monday,2,2017-09-25,3671,2705,2202,503
Tuesday,3,2017-09-26,3669,2780,2306,474
Wednesday,4,2017-09-27,3537,2657,2211,446
Thursday,5,2017-09-28,3413,2507,2048,459
Friday,6,2017-09-29,2699,1902,1554,348
Saturday,7,2017-09-30,1829,1289,1058,231
Sunday,1,2017-10-01,2379,1812,1507,305
Monday,2,2017-10-02,3637,2669,2221,448
Tuesday,3,2017-10-03,3775,2787,2253,534
Wednesday,4,2017-10-04,3572,2731,2245,486
Thursday,5,2017-10-05,3605,2695,2230,465
Friday,6,2017-10-06,2774,2078,1670,408
Saturday,7,2017-10-07,1780,1354,1106,248
Sunday,1,2017-10-08,2469,1884,1571,313
Monday,2,2017-10-09,3881,2869,2348,521
Tuesday,3,2017-10-10,3767,2785,2296,489
Wednesday,4,2017-10-11,4082,2924,2335,589
Thursday,5,2017-10-12,4047,2768,2240,528
Friday,6,2017-10-13,2877,2114,1706,408
Saturday,7,2017-10-14,2073,1559,1298,261
Sunday,1,2017-10-15,2759,2066,1739,327
Monday,2,2017-10-16,3817,2880,2344,536
Tuesday,3,2017-10-17,3949,2930,2402,528
Wednesday,4,2017-10-18,3867,2896,2395,501
Thursday,5,2017-10-19,3621,2582,2119,463
Friday,6,2017-10-20,2978,2220,1772,448
Saturday,7,2017-10-21,1992,1434,1158,276
Sunday,1,2017-10-22,2851,2142,1779,363
Monday,2,2017-10-23,4390,3177,2651,526
Tuesday,3,2017-10-24,3886,2938,2406,532
Wednesday,4,2017-10-25,3424,2477,2017,460
Thursday,5,2017-10-26,4207,3087,2561,526
Friday,6,2017-10-27,3345,2478,1984,494
Saturday,7,2017-10-28,2128,1567,1277,290
Sunday,1,2017-10-29,2205,1637,1319,318
Monday,2,2017-10-30,4091,2999,2453,546
Tuesday,3,2017-10-31,4223,3143,2555,588
Wednesday,4,2017-11-01,4361,3147,2554,593
Thursday,5,2017-11-02,4263,3103,2513,590
Friday,6,2017-11-03,3341,2397,1903,494
Saturday,7,2017-11-04,2278,1634,1307,327
Sunday,1,2017-11-05,3097,2299,1888,411
Monday,2,2017-11-06,4185,3113,2538,575
Tuesday,3,2017-11-07,4477,3341,2689,652
Wednesday,4,2017-11-08,4354,3227,2579,648
Thursday,5,2017-11-09,4194,3005,2401,604
Friday,6,2017-11-10,3240,2319,1833,486
Saturday,7,2017-11-11,2424,1613,1283,330
Sunday,1,2017-11-12,3168,2309,1853,456
Monday,2,2017-11-13,4709,3433,2784,649
Tuesday,3,2017-11-14,4634,3373,2727,646
Wednesday,4,2017-11-15,4545,3345,2681,664
Thursday,5,2017-11-16,4532,3332,2693,639
Friday,6,2017-11-17,3317,2508,2018,490
Saturday,7,2017-11-18,2449,1741,1386,355
Sunday,1,2017-11-19,2893,2231,1780,451
Monday,2,2017-11-20,4170,3135,2555,580
Tuesday,3,2017-11-21,4277,3026,2419,607
Wednesday,4,2017-11-22,3588,2625,2078,547
Thursday,5,2017-11-23,3141,2237,1760,477
Friday,6,2017-11-24,2658,1843,1429,414
Saturday,7,2017-11-25,2391,1652,1327,325
Sunday,1,2017-11-26,3202,2354,1901,453
Monday,2,2017-11-27,4349,3251,2601,650
Tuesday,3,2017-11-28,4886,3660,2968,692
Wednesday,4,2017-11-29,4555,3484,2824,660
Thursday,5,2017-11-30,4477,3134,2530,604
Friday,6,2017-12-01,3577,2603,2056,547
Saturday,7,2017-12-02,2430,1827,1461,366
Sunday,1,2017-12-03,3449,2504,2006,498
Monday,2,2017-12-04,4955,3673,3019,654
Tuesday,3,2017-12-05,4475,3435,2775,660
Wednesday,4,2017-12-06,4595,3452,2766,686
Thursday,5,2017-12-07,4451,3199,2563,636
Friday,6,2017-12-08,3418,2549,2037,512
Saturday,7,2017-12-09,2605,1944,1572,372
Sunday,1,2017-12-10,3483,2607,2102,505
Monday,2,2017-12-11,4651,3350,2656,694
Tuesday,3,2017-12-12,4029,3011,2351,660
Wednesday,4,2017-12-13,4282,3205,2609,596
Thursday,5,2017-12-14,4138,2930,2315,615
Friday,6,2017-12-15,4130,2803,2211,592
Saturday,7,2017-12-16,2581,1761,1429,332
Sunday,1,2017-12-17,3355,2300,1876,424
Monday,2,2017-12-18,4482,3109,2491,618
Tuesday,3,2017-12-19,4584,3021,2456,565
Wednesday,4,2017-12-20,4106,2661,2133,528
Thursday,5,2017-12-21,3378,2243,1798,445
Friday,6,2017-12-22,2446,1544,1211,333
Saturday,7,2017-12-23,1447,958,753,205
Sunday,1,2017-12-24,1326,895,696,199
Monday,2,2017-12-25,1609,1015,809,206
Tuesday,3,2017-12-26,2481,1438,1105,333
Wednesday,4,2017-12-27,2798,1740,1350,390
Thursday,5,2017-12-28,2809,1797,1425,372
Friday,6,2017-12-29,2216,1410,1083,327
Saturday,7,2017-12-30,1546,1071,839,232
Sunday,1,2017-12-31,1339,923,724,199
Monday,2,2018-01-01,1709,1120,878,242
Tuesday,3,2018-01-02,3389,2208,1755,453
Wednesday,4,2018-01-03,3391,2282,1827,455
Thursday,5,2018-01-04,3698,2310,1878,432
Friday,6,2018-01-05,3511,2272,1801,471
Saturday,7,2018-01-06,2279,1498,1196,302
Sunday,1,2018-01-07,2822,1869,1495,374
Monday,2,2018-01-08,4240,2784,2186,598
Tuesday,3,2018-01-09,4319,2844,2302,542
Wednesday,4,2018-01-10,4224,2866,2304,562
Thursday,5,2018-01-11,3797,2704,2203,501
Friday,6,2018-01-12,3190,2127,1692,435
Saturday,7,2018-01-13,1998,1373,1128,245
Sunday,1,2018-01-14,2515,1711,1393,318
Monday,2,2018-01-15,3950,2612,2065,547
Tuesday,3,2018-01-16,4033,2631,2133,498
Wednesday,4,2018-01-17,4269,2812,2285,527
Thursday,5,2018-01-18,4124,2677,2157,520
Friday,6,2018-01-19,3228,2198,1763,435
Saturday,7,2018-01-20,2287,1423,1160,263
Sunday,1,2018-01-21,2946,1996,1628,368
Monday,2,2018-01-22,4608,3035,2534,501
Tuesday,3,2018-01-23,4786,3154,2566,588
Wednesday,4,2018-01-24,4724,3244,2680,564
Thursday,5,2018-01-25,4417,2875,2348,527
Friday,6,2018-01-26,3580,2314,1825,489
Saturday,7,2018-01-27,2345,1544,1229,315
Sunday,1,2018-01-28,3170,2140,1776,364
Monday,2,2018-01-29,4862,3194,2573,621
Tuesday,3,2018-01-30,4600,3106,2504,602
Wednesday,4,2018-01-31,4705,3249,2704,545
Thursday,5,2018-02-01,4723,3164,2571,593
Friday,6,2018-02-02,3969,2572,2104,468
Saturday,7,2018-02-03,2994,2034,1702,332
Sunday,1,2018-02-04,3162,2186,1811,375
Monday,2,2018-02-05,4949,3287,2735,552
Tuesday,3,2018-02-06,5092,3465,2838,627
Wednesday,4,2018-02-07,4767,3319,2729,590
Thursday,5,2018-02-08,4625,3179,2603,576
Friday,6,2018-02-09,3738,2477,2015,462
Saturday,7,2018-02-10,2739,1793,1477,316
Sunday,1,2018-02-11,3923,2476,2077,399
Monday,2,2018-02-12,5341,3687,3045,642
Tuesday,3,2018-02-13,5114,3460,2836,624
Wednesday,4,2018-02-14,4896,3214,2568,646
Thursday,5,2018-02-15,4502,3050,2507,543
Friday,6,2018-02-16,3729,2518,2012,506
Saturday,7,2018-02-17,2388,1618,1319,299
Sunday,1,2018-02-18,3405,2314,1928,386
Monday,2,2018-02-19,5176,3620,2971,649
Tuesday,3,2018-02-20,5429,3597,2978,619
Wednesday,4,2018-02-21,5120,3448,2869,579
Thursday,5,2018-02-22,4993,3379,2774,605
Friday,6,2018-02-23,4148,2751,2221,530
Saturday,7,2018-02-24,2763,1981,1648,333
Sunday,1,2018-02-25,3599,2446,2011,435
Monday,2,2018-02-26,5542,3728,3052,676
Tuesday,3,2018-02-27,5378,3764,3123,641
Wednesday,4,2018-02-28,5536,3734,3095,639
Thursday,5,2018-03-01,4984,3315,2713,602
Friday,6,2018-03-02,4130,2754,2231,523
Saturday,7,2018-03-03,2818,1922,1579,343
Sunday,1,2018-03-04,3978,2699,2249,450
Monday,2,2018-03-05,5502,3727,3019,708
Tuesday,3,2018-03-06,5740,3842,3160,682
Wednesday,4,2018-03-07,5635,3734,3037,697
Thursday,5,2018-03-08,5375,3704,3044,660
Friday,6,2018-03-09,4273,3038,2490,548
Saturday,7,2018-03-10,3223,2305,1918,387
Sunday,1,2018-03-11,3956,2727,2288,439
Monday,2,2018-03-12,5895,4141,3447,694
Tuesday,3,2018-03-13,6152,4207,3398,809
Wednesday,4,2018-03-14,5906,4021,3305,716
Thursday,5,2018-03-15,6300,4061,3279,782
Friday,6,2018-03-16,4915,3259,2673,586
Saturday,7,2018-03-17,3218,2161,1818,343
Sunday,1,2018-03-18,4429,2919,2435,484
Monday,2,2018-03-19,5739,4038,3316,722
Tuesday,3,2018-03-20,6220,4292,3553,739
Wednesday,4,2018-03-21,6238,4163,3396,767
Thursday,5,2018-03-22,6226,4251,3595,656
Friday,6,2018-03-23,4364,2994,2457,537
Saturday,7,2018-03-24,2882,2021,1682,339
Sunday,1,2018-03-25,4010,2748,2263,485
Monday,2,2018-03-26,6084,3995,3289,706
Tuesday,3,2018-03-27,5874,4147,3446,701
Wednesday,4,2018-03-28,5719,3917,3288,629
Thursday,5,2018-03-29,5003,3396,2812,584
Friday,6,2018-03-30,3605,2541,2062,479
Saturday,7,2018-03-31,2811,1901,1512,389
Sunday,1,2018-04-01,3567,2438,1956,482
Monday,2,2018-04-02,5237,3542,2875,667
Tuesday,3,2018-04-03,6154,4126,3438,688
Wednesday,4,2018-04-04,5895,4112,3418,694
Thursday,5,2018-04-05,5858,3943,3232,711
Friday,6,2018-04-06,5034,3348,2749,599
Saturday,7,2018-04-07,3613,2291,1840,451
Sunday,1,2018-04-08,4389,3059,2530,529
Monday,2,2018-04-09,6278,4290,3546,744
Tuesday,3,2018-04-10,6836,4514,3747,767
Wednesday,4,2018-04-11,6731,4596,3759,837
Thursday,5,2018-04-12,6287,4332,3563,769
Friday,6,2018-04-13,5089,3454,2850,604
Saturday,7,2018-04-14,3812,2542,2094,448
Sunday,1,2018-04-15,5290,3538,2914,624
Monday,2,2018-04-16,7161,4993,4188,805
Tuesday,3,2018-04-17,7352,4939,4058,881
Wednesday,4,2018-04-18,7218,4842,4001,841
Thursday,5,2018-04-19,7040,4672,3895,777
Friday,6,2018-04-20,5367,3728,3029,699
Saturday,7,2018-04-21,4021,2749,2253,496
Sunday,1,2018-04-22,5397,3722,3059,663
Monday,2,2018-04-23,7605,5124,4216,908
Tuesday,3,2018-04-24,7614,5094,4181,913
Wednesday,4,2018-04-25,7984,5541,4616,925
Thursday,5,2018-04-26,7040,4823,3957,866
Friday,6,2018-04-27,5628,3749,3095,654
Saturday,7,2018-04-28,3926,2618,2141,477
Sunday,1,2018-04-29,5479,3635,3057,578
Monday,2,2018-04-30,6670,4584,3784,800
Tuesday,3,2018-05-01,6783,4542,3742,800
Wednesday,4,2018-05-02,7105,4865,4013,852
Thursday,5,2018-05-03,6877,4702,3854,848
Friday,6,2018-05-04,5460,3711,3039,672
Saturday,7,2018-05-05,3648,2568,2058,510
Sunday,1,2018-05-06,4917,3311,2737,574
Monday,2,2018-05-07,6980,4654,3881,773
Tuesday,3,2018-05-08,6702,4577,3700,877
Wednesday,4,2018-05-09,6699,4488,3581,907
Thursday,5,2018-05-10,6001,4059,3265,794
Friday,6,2018-05-11,5094,3454,2766,688
Saturday,7,2018-05-12,3179,2237,1821,416
Sunday,1,2018-05-13,4169,2912,2413,499
Monday,2,2018-05-14,6392,4388,3637,751
Tuesday,3,2018-05-15,5878,4094,3384,710
Wednesday,4,2018-05-16,5800,3976,3266,710
Thursday,5,2018-05-17,5690,4023,3254,769
Friday,6,2018-05-18,4314,2986,2400,586
Saturday,7,2018-05-19,2948,2117,1735,382
Sunday,1,2018-05-20,3864,2674,2155,519
Monday,2,2018-05-21,5499,3708,3005,703
Tuesday,3,2018-05-22,5790,4040,3269,771
Wednesday,4,2018-05-23,5720,3971,3206,765
Thursday,5,2018-05-24,5692,3675,2965,710
Friday,6,2018-05-25,4082,2803,2188,615
Saturday,7,2018-05-26,2716,1965,1597,368
Sunday,1,2018-05-27,3430,2374,1887,487
Monday,2,2018-05-28,4353,2994,2392,602
Tuesday,3,2018-05-29,5525,3777,3112,665
Wednesday,4,2018-05-30,5407,3574,2908,666
Thursday,5,2018-05-31,4994,3485,2792,693
Friday,6,2018-06-01,3835,2681,2172,509
Saturday,7,2018-06-02,2511,1750,1423,327
Sunday,1,2018-06-03,3371,2308,1891,417
Monday,2,2018-06-04,5226,3399,2741,658
Tuesday,3,2018-06-05,5139,3453,2811,642
Wednesday,4,2018-06-06,5051,3474,2828,646
Thursday,5,2018-06-07,4787,3283,2685,598
Friday,6,2018-06-08,3956,2670,2107,563
Saturday,7,2018-06-09,2303,1589,1278,311
Sunday,1,2018-06-10,3011,2091,1717,374
Monday,2,2018-06-11,4896,3326,2714,612
Tuesday,3,2018-06-12,4952,3309,2624,685
Wednesday,4,2018-06-13,4570,3099,2439,660
Thursday,5,2018-06-14,4542,2962,2377,585
Friday,6,2018-06-15,3383,2320,1847,473
Saturday,7,2018-06-16,1922,1316,1061,255
Sunday,1,2018-06-17,2404,1677,1361,316
Monday,2,2018-06-18,4576,2964,2313,651
Tuesday,3,2018-06-19,4727,3144,2519,625
Wednesday,4,2018-06-20,4639,2989,2370,619
Thursday,5,2018-06-21,4108,2762,2154,608
Friday,6,2018-06-22,3372,2207,1744,463
Saturday,7,2018-06-23,1996,1277,989,288
Sunday,1,2018-06-24,2415,1619,1266,353
Monday,2,2018-06-25,4457,2881,2272,609
Tuesday,3,2018-06-26,4736,3039,2410,629
Wednesday,4,2018-06-27,4245,2818,2244,574
Thursday,5,2018-06-28,4081,2785,2160,625
Friday,6,2018-06-29,3053,2008,1568,440
Saturday,7,2018-06-30,1741,1147,927,220
Sunday,1,2018-07-01,2186,1447,1140,307
Monday,2,2018-07-02,4026,2533,1952,581
Tuesday,3,2018-07-03,3961,2515,1966,549
Wednesday,4,2018-07-04,3019,2032,1595,437
Thursday,5,2018-07-05,3743,2496,1997,499
Friday,6,2018-07-06,3050,1995,1575,420
Saturday,7,2018-07-07,1688,1080,857,223
Sunday,1,2018-07-08,2185,1440,1145,295
Monday,2,2018-07-09,4104,2576,2016,560
Tuesday,3,2018-07-10,4097,2694,2059,635
Wednesday,4,2018-07-11,3844,2506,1895,611
Thursday,5,2018-07-12,3743,2530,2001,529
Friday,6,2018-07-13,3073,2068,1581,487
Saturday,7,2018-07-14,1852,1249,992,257
Sunday,1,2018-07-15,2105,1474,1173,301
Monday,2,2018-07-16,4078,2657,2095,562
Tuesday,3,2018-07-17,4515,2856,2255,601
Wednesday,4,2018-07-18,4276,2779,2173,606
Thursday,5,2018-07-19,4043,2705,2114,591
Friday,6,2018-07-20,3004,2028,1576,452
